"Date","trend"
2018-01-01,9.05637094661173
2018-02-01,9.00689366843177
2018-03-01,8.95741639025181
2018-04-01,8.91736380062667
2018-05-01,8.87731121100152
2018-06-01,8.84310622154461
2018-07-01,8.80890123208769
2018-08-01,8.77522759384216
2018-09-01,8.74155395559662
2018-10-01,8.74092750761863
2018-11-01,8.74030105964063
2018-12-01,8.77632507532342
2019-01-01,8.8123490910062
2019-02-01,8.83642060750692
2019-03-01,8.86049212400764
2019-04-01,8.87519153958844
2019-05-01,8.88989095516924
2019-06-01,8.90996945088814
2019-07-01,8.93004794660703
2019-08-01,8.94402277794752
2019-09-01,8.95799760928801
2019-10-01,8.97303534707917
2019-11-01,8.98807308487033
2019-12-01,9.00547518135579
2020-01-01,9.02287727784124
2020-02-01,9.05052180996956
2020-03-01,9.07816634209787
2020-04-01,9.07770468132011
2020-05-01,9.07724302054236
2020-06-01,9.02169433882875
2020-07-01,8.96614565711514
2020-08-01,8.8828868822969
2020-09-01,8.79962810747865
2020-10-01,8.71835340545696
2020-11-01,8.63707870343526
2020-12-01,8.54745861669974
2021-01-01,8.45783852996423
2021-02-01,8.37579222563098
2021-03-01,8.29374592129774
2021-04-01,8.24196632736684
2021-05-01,8.19018673343594
2021-06-01,8.16002442502831
2021-07-01,8.12986211662068
2021-08-01,8.10198628775706
2021-09-01,8.07411045889345
2021-10-01,8.05663118460978
2021-11-01,8.03915191032612
2021-12-01,8.04144252116617
2022-01-01,8.04373313200621
2022-02-01,8.04757929717833
2022-03-01,8.05142546235046
2022-04-01,8.0483583565154
2022-05-01,8.04529125068034
2022-06-01,8.04891603428401
2022-07-01,8.05254081788768
2022-08-01,8.04388688196611
2022-09-01,8.03523294604454
2022-10-01,7.9943461982103
2022-11-01,7.95345945037605
2022-12-01,7.91027551009679
2023-01-01,7.86709156981753
2023-02-01,7.84014774091251
2023-03-01,7.81320391200749
2023-04-01,7.81227720304707
2023-05-01,7.81135049408665
2023-06-01,7.81105441763787
2023-07-01,7.8107583411891
2023-08-01,7.81309968888669
2023-09-01,7.81544103658429
2023-10-01,7.8201083372282
2023-11-01,7.82477563787212
2023-12-01,7.83101557270886
