"Date","trend"
2018-01-01,102.468324701123
2018-02-01,102.488519568446
2018-03-01,102.508714435768
2018-04-01,102.600440789995
2018-05-01,102.692167144222
2018-06-01,102.879401044249
2018-07-01,103.066634944277
2018-08-01,103.335968389857
2018-09-01,103.605301835437
2018-10-01,104.245661798249
2018-11-01,104.886021761062
2018-12-01,106.226979165782
2019-01-01,107.567936570503
2019-02-01,109.243681450163
2019-03-01,110.919426329824
2019-04-01,112.661030068818
2019-05-01,114.402633807812
2019-06-01,115.90333391979
2019-07-01,117.404034031768
2019-08-01,118.103758920003
2019-09-01,118.803483808238
2019-10-01,118.766171180976
2019-11-01,118.728858553713
2019-12-01,118.591359701928
2020-01-01,118.453860850142
2020-02-01,118.351433269211
2020-03-01,118.24900568828
2020-04-01,118.053170745117
2020-05-01,117.857335801954
2020-06-01,118.07423598973
2020-07-01,118.291136177507
2020-08-01,119.295772284992
2020-09-01,120.300408392478
2020-10-01,121.580840176264
2020-11-01,122.86127196005
2020-12-01,123.668247229289
2021-01-01,124.475222498528
2021-02-01,125.107399523087
2021-03-01,125.739576547647
2021-04-01,126.460765272733
2021-05-01,127.18195399782
2021-06-01,127.625727776129
2021-07-01,128.069501554438
2021-08-01,128.602074447825
2021-09-01,129.134647341211
2021-10-01,130.152658235246
2021-11-01,131.170669129282
2021-12-01,132.375325569069
2022-01-01,133.579982008856
2022-02-01,134.630672506851
2022-03-01,135.681363004847
2022-04-01,136.322005362359
2022-05-01,136.962647719872
2022-06-01,136.783647592698
2022-07-01,136.604647465524
2022-08-01,135.466532580353
2022-09-01,134.328417695181
2022-10-01,132.780463346021
2022-11-01,131.232508996861
2022-12-01,130.050692587229
2023-01-01,128.868876177598
2023-02-01,128.041162477245
2023-03-01,127.213448776893
2023-04-01,127.611638901702
2023-05-01,128.009829026512
2023-06-01,128.665062295667
2023-07-01,129.320295564822
2023-08-01,130.123243474701
2023-09-01,130.926191384579
2023-10-01,131.860667240395
2023-11-01,132.795143096211
2023-12-01,133.825526262679
