"Date","trend"
2018-01-01,127.649485777225
2018-02-01,127.878537282956
2018-03-01,128.107588788687
2018-04-01,128.275628988905
2018-05-01,128.443669189124
2018-06-01,128.565737351498
2018-07-01,128.687805513872
2018-08-01,128.774146496479
2018-09-01,128.860487479085
2018-10-01,128.600781928947
2018-11-01,128.341076378809
2018-12-01,127.847911260269
2019-01-01,127.354746141729
2019-02-01,127.019011011838
2019-03-01,126.683275881946
2019-04-01,126.436423861447
2019-05-01,126.189571840948
2019-06-01,126.114485761152
2019-07-01,126.039399681355
2019-08-01,126.227320199615
2019-09-01,126.415240717876
2019-10-01,126.464923035954
2019-11-01,126.514605354033
2019-12-01,126.257224436406
2020-01-01,125.999843518778
2020-02-01,125.745932950395
2020-03-01,125.492022382012
2020-04-01,125.472375559592
2020-05-01,125.452728737173
2020-06-01,125.079460537613
2020-07-01,124.706192338053
2020-08-01,123.727997165431
2020-09-01,122.74980199281
2020-10-01,121.589897428047
2020-11-01,120.429992863284
2020-12-01,119.121167341346
2021-01-01,117.812341819409
2021-02-01,116.588077889895
2021-03-01,115.363813960382
2021-04-01,114.846626604968
2021-05-01,114.329439249553
2021-06-01,114.91980544058
2021-07-01,115.510171631606
2021-08-01,116.811316290629
2021-09-01,118.112460949652
2021-10-01,119.412252135885
2021-11-01,120.712043322118
2021-12-01,121.82394357577
2022-01-01,122.935843829422
2022-02-01,123.455092764269
2022-03-01,123.974341699115
2022-04-01,123.469764403034
2022-05-01,122.965187106952
2022-06-01,122.226384732608
2022-07-01,121.487582358264
2022-08-01,121.653550671903
2022-09-01,121.819518985542
2022-10-01,122.998440018929
2022-11-01,124.177361052316
2022-12-01,125.542221734106
2023-01-01,126.907082415896
2023-02-01,128.138586821709
2023-03-01,129.370091227522
2023-04-01,130.046388338129
2023-05-01,130.722685448735
2023-06-01,131.441885708474
2023-07-01,132.161085968213
2023-08-01,132.717739586192
2023-09-01,133.274393204171
2023-10-01,133.617882773522
2023-11-01,133.961372342872
2023-12-01,134.16512869083
