"Date","trend"
2018-01-01,4.84014945059967
2018-02-01,4.714651751566
2018-03-01,4.58915405253233
2018-04-01,4.43086789572932
2018-05-01,4.2725817389263
2018-06-01,4.12986436262038
2018-07-01,3.98714698631445
2018-08-01,3.85847419972183
2018-09-01,3.7298014131292
2018-10-01,3.36591792225604
2018-11-01,3.00203443138288
2018-12-01,2.59765749390577
2019-01-01,2.19328055642866
2019-02-01,2.08063074125884
2019-03-01,1.96798092608903
2019-04-01,1.94615340433706
2019-05-01,1.92432588258509
2019-06-01,1.91757149234468
2019-07-01,1.91081710210428
2019-08-01,1.94176143433113
2019-09-01,1.97270576655798
2019-10-01,2.00171117059999
2019-11-01,2.030716574642
2019-12-01,2.0243310306063
2020-01-01,2.01794548657061
2020-02-01,1.99519723072256
2020-03-01,1.97244897487451
2020-04-01,1.97224867202618
2020-05-01,1.97204836917785
2020-06-01,1.97269172943597
2020-07-01,1.97333508969409
2020-08-01,1.98910705207937
2020-09-01,2.00487901446466
2020-10-01,2.01700797667475
2020-11-01,2.02913693888484
2020-12-01,2.01747006931896
2021-01-01,2.00580319975309
2021-02-01,1.9750737617198
2021-03-01,1.94434432368652
2021-04-01,1.93480681221689
2021-05-01,1.92526930074725
2021-06-01,1.93561440004066
2021-07-01,1.94595949933407
2021-08-01,1.99570071279067
2021-09-01,2.04544192624726
2021-10-01,2.09232719658013
2021-11-01,2.139212466913
2021-12-01,2.1434056552817
2022-01-01,2.14759884365041
2022-02-01,2.11933548077654
2022-03-01,2.09107211790267
2022-04-01,2.08068212722846
2022-05-01,2.07029213655425
2022-06-01,2.07230075637548
2022-07-01,2.07430937619672
2022-08-01,2.10280803087572
2022-09-01,2.13130668555473
2022-10-01,2.16417268316187
2022-11-01,2.19703868076901
2022-12-01,2.19967337779611
2023-01-01,2.2023080748232
2023-02-01,2.17860038111192
2023-03-01,2.15489268740063
2023-04-01,2.1514007219533
2023-05-01,2.14790875650597
2023-06-01,2.13190541214735
2023-07-01,2.11590206778874
2023-08-01,2.10187705789501
2023-09-01,2.08785204800128
2023-10-01,2.08146597930536
2023-11-01,2.07507991060944
2023-12-01,2.07393452411349
