"Date","trend"
2018-01-01,131.564981584712
2018-02-01,129.768143340648
2018-03-01,127.971305096583
2018-04-01,126.354212897129
2018-05-01,124.737120697674
2018-06-01,123.249982349853
2018-07-01,121.762844002033
2018-08-01,120.387151008862
2018-09-01,119.011458015691
2018-10-01,118.44675044249
2018-11-01,117.88204286929
2018-12-01,118.111041885568
2019-01-01,118.340040901847
2019-02-01,119.20913284792
2019-03-01,120.078224793992
2019-04-01,121.057943022815
2019-05-01,122.037661251637
2019-06-01,121.931463972058
2019-07-01,121.825266692478
2019-08-01,120.875394369899
2019-09-01,119.92552204732
2019-10-01,119.220872109376
2019-11-01,118.516222171432
2019-12-01,117.897462137123
2020-01-01,117.278702102815
2020-02-01,116.440662906595
2020-03-01,115.602623710376
2020-04-01,114.974962504548
2020-05-01,114.347301298721
2020-06-01,113.974365921697
2020-07-01,113.601430544672
2020-08-01,113.058249139888
2020-09-01,112.515067735105
2020-10-01,111.996285758415
2020-11-01,111.477503781725
2020-12-01,111.007846285415
2021-01-01,110.538188789106
2021-02-01,110.024146714486
2021-03-01,109.510104639867
2021-04-01,109.783299340817
2021-05-01,110.056494041768
2021-06-01,111.960381506741
2021-07-01,113.864268971715
2021-08-01,116.396763144407
2021-09-01,118.929257317099
2021-10-01,120.642229670632
2021-11-01,122.355202024165
2021-12-01,124.06734188325
2022-01-01,125.779481742335
2022-02-01,127.371451949812
2022-03-01,128.963422157289
2022-04-01,129.2467454614
2022-05-01,129.530068765511
2022-06-01,128.633892445468
2022-07-01,127.737716125426
2022-08-01,126.629005835243
2022-09-01,125.520295545061
2022-10-01,124.916875254655
2022-11-01,124.31345496425
2022-12-01,123.497543675091
2023-01-01,122.681632385931
2023-02-01,122.161913836156
2023-03-01,121.642195286382
2023-04-01,121.635261527232
2023-05-01,121.628327768082
2023-06-01,121.447514232093
2023-07-01,121.266700696104
2023-08-01,121.049158944264
2023-09-01,120.831617192425
2023-10-01,120.638023751353
2023-11-01,120.444430310282
2023-12-01,120.268224225801
