"Date","trend"
2018-01-01,120.091073556134
2018-02-01,121.059091176848
2018-03-01,122.027108797561
2018-04-01,122.757345859777
2018-05-01,123.487582921992
2018-06-01,124.096927498449
2018-07-01,124.706272074906
2018-08-01,125.467140406189
2018-09-01,126.228008737473
2018-10-01,126.831224392612
2018-11-01,127.434440047751
2018-12-01,127.836446776209
2019-01-01,128.238453504667
2019-02-01,129.179681175536
2019-03-01,130.120908846404
2019-04-01,131.957051874653
2019-05-01,133.793194902902
2019-06-01,135.133902904937
2019-07-01,136.474610906973
2019-08-01,136.321629587209
2019-09-01,136.168648267445
2019-10-01,134.319312170558
2019-11-01,132.469976073671
2019-12-01,129.819721519254
2020-01-01,127.169466964837
2020-02-01,124.914440787632
2020-03-01,122.659414610427
2020-04-01,121.45347577216
2020-05-01,120.247536933892
2020-06-01,119.470704003597
2020-07-01,118.693871073301
2020-08-01,117.839955217335
2020-09-01,116.98603936137
2020-10-01,116.45573512343
2020-11-01,115.925430885491
2020-12-01,115.842724388068
2021-01-01,115.760017890646
2021-02-01,115.589692389115
2021-03-01,115.419366887583
2021-04-01,115.40919246106
2021-05-01,115.399018034538
2021-06-01,118.53661394664
2021-07-01,121.674209858741
2021-08-01,128.55280746465
2021-09-01,135.431405070559
2021-10-01,142.384064109427
2021-11-01,149.336723148295
2021-12-01,154.393157250336
2022-01-01,159.449591352377
2022-02-01,163.473666924508
2022-03-01,167.49774249664
2022-04-01,170.498543152829
2022-05-01,173.499343809019
2022-06-01,173.037829421177
2022-07-01,172.576315033336
2022-08-01,169.163375618277
2022-09-01,165.750436203219
2022-10-01,163.637816198046
2022-11-01,161.525196192874
2022-12-01,160.203938047795
2023-01-01,158.882679902716
2023-02-01,156.721695328427
2023-03-01,154.560710754138
2023-04-01,152.923901318851
2023-05-01,151.287091883563
2023-06-01,150.229582303087
2023-07-01,149.17207272261
2023-08-01,148.169228780245
2023-09-01,147.166384837879
2023-10-01,146.222305913651
2023-11-01,145.278226989422
2023-12-01,144.445600531196
