"Date","trend"
2018-01-01,173.270033932185
2018-02-01,168.576975679955
2018-03-01,163.883917427726
2018-04-01,159.549998701013
2018-05-01,155.2160799743
2018-06-01,151.094919298021
2018-07-01,146.973758621742
2018-08-01,143.042874312549
2018-09-01,139.111990003357
2018-10-01,137.234424276692
2018-11-01,135.356858550027
2018-12-01,135.432365147853
2019-01-01,135.50787174568
2019-02-01,136.311306001563
2019-03-01,137.114740257446
2019-04-01,138.170957006663
2019-05-01,139.22717375588
2019-06-01,139.389968651502
2019-07-01,139.552763547124
2019-08-01,139.183880127641
2019-09-01,138.814996708157
2019-10-01,138.790656834388
2019-11-01,138.766316960618
2019-12-01,139.214485723059
2020-01-01,139.662654485499
2020-02-01,140.223084823926
2020-03-01,140.783515162352
2020-04-01,141.266916177979
2020-05-01,141.750317193606
2020-06-01,141.892266004992
2020-07-01,142.034214816378
2020-08-01,141.552993060205
2020-09-01,141.071771304032
2020-10-01,140.610165666175
2020-11-01,140.148560028317
2020-12-01,139.680093707698
2021-01-01,139.211627387078
2021-02-01,138.537474399794
2021-03-01,137.863321412511
2021-04-01,138.515413239991
2021-05-01,139.167505067471
2021-06-01,142.269713099543
2021-07-01,145.371921131614
2021-08-01,149.215495630871
2021-09-01,153.059070130127
2021-10-01,155.420341646186
2021-11-01,157.781613162245
2021-12-01,159.88629065237
2022-01-01,161.990968142494
2022-02-01,164.056027668844
2022-03-01,166.121087195193
2022-04-01,166.449336662777
2022-05-01,166.777586130361
2022-06-01,165.253317502998
2022-07-01,163.729048875635
2022-08-01,161.525308086302
2022-09-01,159.321567296968
2022-10-01,158.016996018947
2022-11-01,156.712424740925
2022-12-01,155.518410082911
2023-01-01,154.324395424897
2023-02-01,153.573004730118
2023-03-01,152.821614035339
2023-04-01,152.783524571782
2023-05-01,152.745435108225
2023-06-01,152.488481261042
2023-07-01,152.23152741386
2023-08-01,152.025593255722
2023-09-01,151.819659097584
2023-10-01,151.696043568283
2023-11-01,151.572428038982
2023-12-01,151.472785950622
