"Date","trend"
2018-01-01,176.27741145987
2018-02-01,174.470004236722
2018-03-01,172.662597013575
2018-04-01,170.954263117974
2018-05-01,169.245929222373
2018-06-01,167.685500499895
2018-07-01,166.125071777416
2018-08-01,164.863466341702
2018-09-01,163.601860905988
2018-10-01,163.339861678724
2018-11-01,163.07786245146
2018-12-01,163.644086345899
2019-01-01,164.210310240337
2019-02-01,165.715782667116
2019-03-01,167.221255093894
2019-04-01,169.175468892188
2019-05-01,171.129682690482
2019-06-01,172.286583764649
2019-07-01,173.443484838817
2019-08-01,173.220443776539
2019-09-01,172.997402714262
2019-10-01,171.988826045928
2019-11-01,170.980249377593
2019-12-01,170.121471347517
2020-01-01,169.26269331744
2020-02-01,168.386631541133
2020-03-01,167.510569764825
2020-04-01,166.397954852759
2020-05-01,165.285339940693
2020-06-01,164.603235734563
2020-07-01,163.921131528433
2020-08-01,164.154336224169
2020-09-01,164.387540919905
2020-10-01,165.21514641221
2020-11-01,166.042751904515
2020-12-01,166.542372102912
2021-01-01,167.04199230131
2021-02-01,167.721290174331
2021-03-01,168.400588047352
2021-04-01,170.295332491721
2021-05-01,172.19007693609
2021-06-01,174.256368461943
2021-07-01,176.322659987797
2021-08-01,177.656744285839
2021-09-01,178.990828583881
2021-10-01,179.543544207754
2021-11-01,180.096259831627
2021-12-01,180.422287079968
2022-01-01,180.748314328308
2022-02-01,180.610426377929
2022-03-01,180.472538427549
2022-04-01,179.48029507686
2022-05-01,178.48805172617
2022-06-01,176.933139995626
2022-07-01,175.378228265082
2022-08-01,173.604543143148
2022-09-01,171.830858021215
2022-10-01,169.911850314763
2022-11-01,167.992842608311
2022-12-01,165.493261091654
2023-01-01,162.993679574996
2023-02-01,160.206364333204
2023-03-01,157.419049091411
2023-04-01,154.947980273846
2023-05-01,152.476911456281
2023-06-01,149.975796931677
2023-07-01,147.474682407073
2023-08-01,145.003557659155
2023-09-01,142.532432911236
2023-10-01,140.153146833493
2023-11-01,137.77386075575
2023-12-01,135.460142247685
